Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Bahrain,'070200,"Tomatoes, fresh or chilled",11661,13054,11962,13963,17583
Bahrain,'070999,Fresh or chilled vegetables n.e.s.,14312,15631,18468,16614,11934
Bahrain,'070310,Fresh or chilled onions and shallots,16714,11541,13750,15774,11803
Bahrain,'070960,Fresh or chilled fruits of the genus Capsicum or Pimenta,7474,9401,9691,8852,8711
Bahrain,'070190,Fresh or chilled potatoes (excluding seed),10184,10657,11530,12031,6606
Bahrain,'070700,"Cucumbers and gherkins, fresh or chilled",2463,2794,3043,3048,4257
Bahrain,'070610,Fresh or chilled carrots and turnips,5748,6216,6468,7123,3596
Bahrain,'070320,"Garlic, fresh or chilled",2232,3378,4180,2576,3285
Bahrain,'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",2956,3948,4925,4400,2620
Bahrain,'070410,Fresh or chilled cauliflowers and headed broccoli,3120,2728,3000,2949,2273
Bahrain,'071090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",968,1074,1187,910,1991
Bahrain,'071340,"Dried, shelled lentils, whether or not skinned or split",3698,3961,2710,2377,1916
Bahrain,'071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",2228,2222,1823,1956,1814
Bahrain,'070511,Fresh or chilled cabbage lettuce,5159,5579,5980,5726,1696
Bahrain,'070993,"Fresh or chilled pumpkins, squash and gourds ""Cucurbita spp.""",1780,2320,2031,2080,1676
Bahrain,'070519,Fresh or chilled lettuce (excluding cabbage lettuce),1161,1033,905,450,1357
Bahrain,'070959,"Fresh or chilled edible mushrooms and truffles (excluding mushrooms of the genus ""Agaricus"")",218,270,161,212,1329
Bahrain,'071080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",541,636,724,706,1246
Bahrain,'070930,"Fresh or chilled aubergines ""eggplants""",1061,1563,1804,1552,1063
Bahrain,'071310,"Dried, shelled peas ""Pisum sativum"", whether or not skinned or split",1166,1339,1291,1017,903
Bahrain,'071040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",1566,1536,1783,1513,807
Bahrain,'070490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excluding cauliflowers, ...",95,91,221,190,751
Bahrain,'070820,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled",1841,2049,1867,1544,689
Bahrain,'071350,"Dried, shelled broad beans ""Vicia faba var. major"" and horse beans ""Vicia faba var. equina ...",612,534,339,487,481
Bahrain,'070951,"Fresh or chilled mushrooms of the genus ""Agaricus""",3034,3061,3390,3562,472
Bahrain,'070690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",271,390,424,574,425
Bahrain,'071420,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",540,726,587,489,348
Bahrain,'071021,"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in ...",609,699,709,796,325
Bahrain,'071331,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether ...",201,167,208,136,313
Bahrain,'071333,"Dried, shelled kidney beans ""Phaseolus vulgaris"", whether or not skinned or split",248,229,315,276,297
Bahrain,'071440,"Taro ""Colocasia spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form ...",98,162,381,566,294
Bahrain,'071339,"Dried, shelled beans ""Vigna and Phaseolus"", whether or not skinned or split (excluding beans ...",520,559,656,330,259
Bahrain,'071022,"Shelled or unshelled beans ""Vigna spp., Phaseolus spp."", uncooked or cooked by steaming or ...",235,244,274,284,236
Bahrain,'071010,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",749,605,615,341,227
Bahrain,'071290,"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ...",337,713,503,425,194
Bahrain,'070890,"Fresh or chilled leguminous vegetables, shelled or unshelled (excluding peas ""Pisum sativum"" ...",605,641,568,309,177
