Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Kuwait,'070200,"Tomatoes, fresh or chilled",41815,37264,36872,32509,36022
Kuwait,'070190,Fresh or chilled potatoes (excluding seed),72643,31442,38259,38200,21478
Kuwait,'070310,Fresh or chilled onions and shallots,43837,39847,31779,37638,21394
Kuwait,'070960,Fresh or chilled fruits of the genus Capsicum or Pimenta,18373,15726,18698,17215,20992
Kuwait,'070999,Fresh or chilled vegetables n.e.s.,44916,40991,40908,50434,19663
Kuwait,'070320,"Garlic, fresh or chilled",7719,10990,11571,9471,13561
Kuwait,'070610,Fresh or chilled carrots and turnips,9327,9958,10933,12963,9066
Kuwait,'071340,"Dried, shelled lentils, whether or not skinned or split",10644,14304,12515,8444,8394
Kuwait,'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",6794,8340,14240,9635,6996
Kuwait,'070410,Fresh or chilled cauliflowers and headed broccoli,6820,5808,6832,7517,6818
Kuwait,'070519,Fresh or chilled lettuce (excluding cabbage lettuce),1027,781,528,634,5745
Kuwait,'071080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",4152,3372,5352,4504,5644
Kuwait,'070700,"Cucumbers and gherkins, fresh or chilled",4897,1998,2238,4031,5181
Kuwait,'071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",4580,7301,5661,4368,4948
Kuwait,'070511,Fresh or chilled cabbage lettuce,25150,19683,19447,24854,4652
Kuwait,'070959,"Fresh or chilled edible mushrooms and truffles (excluding mushrooms of the genus ""Agaricus"")",22189,8996,4425,8623,4092
Kuwait,'070930,"Fresh or chilled aubergines ""eggplants""",8402,6806,5878,5493,3714
Kuwait,'071090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",3275,2831,2910,3237,3614
Kuwait,'071040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",5538,5472,6042,5649,3612
Kuwait,'070490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excluding cauliflowers, ...",8152,8708,6295,3207,3227
