Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Oman,'070310,Fresh or chilled onions and shallots,25599,20774,29458,26262,25032
Oman,'070190,Fresh or chilled potatoes (excluding seed),23588,22882,34090,28926,23798
Oman,'070200,"Tomatoes, fresh or chilled",11505,16588,17441,16949,14268
Oman,'070320,"Garlic, fresh or chilled",9083,6037,6961,10985,13580
Oman,'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",3057,5885,9886,10061,8797
Oman,'070960,Fresh or chilled fruits of the genus Capsicum or Pimenta,3156,5463,6219,9087,8152
Oman,'071340,"Dried, shelled lentils, whether or not skinned or split",11283,10776,9653,7986,7494
Oman,'070999,Fresh or chilled vegetables n.e.s.,9264,10808,10898,10783,6690
Oman,'070610,Fresh or chilled carrots and turnips,5769,4212,5004,5941,6154
Oman,'071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",1129,3509,4566,3452,4353
Oman,'071080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",521,659,676,898,2985
Oman,'071331,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether ...",313,480,723,901,2487
Oman,'071040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",4016,8869,4471,3237,2421
Oman,'071333,"Dried, shelled kidney beans ""Phaseolus vulgaris"", whether or not skinned or split",627,478,779,1294,2383
Oman,'071310,"Dried, shelled peas ""Pisum sativum"", whether or not skinned or split",516,1813,2938,2529,2136
Oman,'071090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",2681,2177,2906,2580,1556
Oman,'070700,"Cucumbers and gherkins, fresh or chilled",139,137,260,278,1480
Oman,'071339,"Dried, shelled beans ""Vigna and Phaseolus"", whether or not skinned or split (excluding beans ...",543,1512,593,1383,1452
Oman,'070511,Fresh or chilled cabbage lettuce,2436,10361,5353,4006,1390
Oman,'071335,"Dried, shelled cow peas ""Vigna unguiculata"", whether or not skinned or split",0,1,22,25,1370
Oman,'070410,Fresh or chilled cauliflowers and headed broccoli,1704,2459,2293,2415,1258
Oman,'070519,Fresh or chilled lettuce (excluding cabbage lettuce),1291,799,467,462,948
Oman,'071010,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",872,795,2258,1586,738
Oman,'071350,"Dried, shelled broad beans ""Vicia faba var. major"" and horse beans ""Vicia faba var. equina ...",156,177,360,539,644
