Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Qatar,'070310,Fresh or chilled onions and shallots,27933,,28647,31594,28633
Qatar,'070200,"Tomatoes, fresh or chilled",28888,,29148,29875,26529
Qatar,'070999,Fresh or chilled vegetables n.e.s.,6116,,11855,37800,18612
Qatar,'070960,Fresh or chilled fruits of the genus Capsicum or Pimenta,8025,,15512,16359,15021
Qatar,'070110,Seed potatoes,18992,,21484,15359,14651
Qatar,'070993,"Fresh or chilled pumpkins, squash and gourds ""Cucurbita spp.""",1899,,7893,11867,14553
Qatar,'070610,Fresh or chilled carrots and turnips,9423,,14650,12809,13095
Qatar,'070511,Fresh or chilled cabbage lettuce,8129,,9713,10758,9943
Qatar,'070320,"Garlic, fresh or chilled",5508,,9583,6595,9350
Qatar,'070390,"Leeks and other alliaceous vegetables, fresh or chilled (excluding onions, shallots and garlic)",105643,,47965,37911,9178
Qatar,'070410,Fresh or chilled cauliflowers and headed broccoli,5985,,6456,6823,7119
Qatar,'071340,"Dried, shelled lentils, whether or not skinned or split",8820,,11782,7559,5886
Qatar,'070700,"Cucumbers and gherkins, fresh or chilled",3321,,4705,5422,5315
Qatar,'070820,"Fresh or chilled beans ""Vigna spp., Phaseolus spp."", shelled or unshelled",1571,,4048,4767,4792
Qatar,'070420,"Brussels sprouts, fresh or chilled",3794,,2806,4935,4609
Qatar,'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",3662,,7099,5401,3620
Qatar,'071080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",4864,,3855,2731,3499
Qatar,'070930,"Fresh or chilled aubergines ""eggplants""",3432,,5061,4115,3443
Qatar,'070190,Fresh or chilled potatoes (excluding seed),518,,207,1544,3403
Qatar,'071040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",1829,,2230,3139,2921
Qatar,'070959,"Fresh or chilled edible mushrooms and truffles (excluding mushrooms of the genus ""Agaricus"")",3409,,1864,2552,2340
Qatar,'071090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",3007,,3167,3697,2219
Qatar,'071021,"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in ...",1035,,1775,2217,1825
Qatar,'071022,"Shelled or unshelled beans ""Vigna spp., Phaseolus spp."", uncooked or cooked by steaming or ...",1000,,1593,2187,1672
Qatar,'071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",4041,,3715,2314,1486
Qatar,'071310,"Dried, shelled peas ""Pisum sativum"", whether or not skinned or split",502,,1516,1699,1481
Qatar,'070920,Fresh or chilled asparagus,527,,1420,1537,1467
Qatar,'071331,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether ...",458,,1429,1643,1374
Qatar,'071030,"Spinach, New Zealand spinach and orache spinach, uncooked or cooked by steaming or by boiling ...",551,,857,1326,1279
Qatar,'071420,"Sweet potatoes, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets",355,,688,1119,1202
Qatar,'070521,Fresh or chilled witloof chicory,119,,317,481,1074
Qatar,'071010,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",1106,,1207,1271,905
Qatar,'070951,"Fresh or chilled mushrooms of the genus ""Agaricus""",3499,,1939,999,888
Qatar,'071333,"Dried, shelled kidney beans ""Phaseolus vulgaris"", whether or not skinned or split",179,,506,811,866
Qatar,'071440,"Taro ""Colocasia spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form ...",68,,183,672,816
Qatar,'071350,"Dried, shelled broad beans ""Vicia faba var. major"" and horse beans ""Vicia faba var. equina ...",379,,522,727,783
Qatar,'071410,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced ...",149,,341,624,710
Qatar,'070810,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled",587,,785,856,675
Qatar,'070940,Fresh or chilled celery (excluding celeriac),272,,958,1020,674
Qatar,'071430,"Yams ""Dioscorea spp."", fresh, chilled, frozen or dried, whether or not sliced or in the form ...",6,,479,834,612
Qatar,'070490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excluding cauliflowers, ...",1,,1,284,484
Qatar,'070970,"Fresh or chilled spinach, New Zealand spinach and orache spinach",238,,728,1095,467
Qatar,'071029,"Leguminous vegetables, shelled or unshelled, uncooked or cooked by steaming or by boiling in ...",0,,8,290,316
Qatar,'071220,"Dried onions, whole, cut, sliced, broken or in powder, but not further prepared",617,,162,365,230
Qatar,'071339,"Dried, shelled beans ""Vigna and Phaseolus"", whether or not skinned or split (excluding beans ...",8,,298,276,155
Qatar,'071120,"Olives, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",182,,481,553,137
Qatar,'070991,Fresh or chilled globe artichokes,239,,441,247,121
Qatar,'070519,Fresh or chilled lettuce (excluding cabbage lettuce),17,,33,101,118
Qatar,'071190,"Vegetables and mixtures of vegetables provisionally preserved, e.g. by sulphur dioxide gas, ...",67,,172,127,104
Qatar,'070690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",5,,14,153,99
Qatar,'071360,"Dried, shelled pigeon peas ""Cajanus cajan"", whether or not skinned or split",230,,85,190,93
Qatar,'071239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...",0,,46,40,70
Qatar,'071490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ...",98,,89,983,58
Qatar,'071335,"Dried, shelled cow peas ""Vigna unguiculata"", whether or not skinned or split",892,,537,225,55
Qatar,'071332,"Dried, shelled small red ""Adzuki"" beans ""Phaseolus or Vigna angularis"", whether or not skinned ...",42,,67,224,54
Qatar,'071290,"Dried vegetables and mixtures of vegetables, whole, cut, sliced, broken or in powder, but not ...",119,,176,264,28
Qatar,'071231,"Dried mushrooms of the genus ""Agaricus"", whole, cut, sliced, broken or in powder, but not further ...",29,,336,23,16
Qatar,'070992,Fresh or chilled olives,200,,76,152,16
Qatar,'071151,"Mushrooms of the genus ""Agaricus"", provisionally preserved, e.g., by sulphur dioxide gas, in ...",5,,69,38,15
Qatar,'071159,"Mushrooms and truffles, provisionally preserved, e.g., by sulphur dioxide gas, in brine, in ...",0,,4,3,0
Qatar,'071130,"Capers provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",0,,0,0,0
Qatar,'071140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",3,,21,20,0
Qatar,'071232,"Dried wood ears ""Auricularia spp."", whole, cut, sliced, broken or in powder, but not further ...",269,,1085,212,0
Qatar,'071233,"Dried jelly fungi ""Tremella spp."", whole, cut, sliced, broken or in powder, but not further ...",37,,12,10,0
Qatar,'071230,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared",0,,0,0,0
