Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
Saudi Arabia,'070200,"Tomatoes, fresh or chilled",94002,99394,69828,79110,86784
Saudi Arabia,'070310,Fresh or chilled onions and shallots,146565,149649,138059,119844,83625
Saudi Arabia,'070320,"Garlic, fresh or chilled",40450,64580,65560,36361,51752
Saudi Arabia,'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",40928,54548,63524,50843,42160
Saudi Arabia,'070511,Fresh or chilled cabbage lettuce,36719,37242,37636,35849,38972
Saudi Arabia,'071340,"Dried, shelled lentils, whether or not skinned or split",54409,49745,43474,33991,32766
Saudi Arabia,'071350,"Dried, shelled broad beans ""Vicia faba var. major"" and horse beans ""Vicia faba var. equina ...",20570,17675,16258,14235,32282
Saudi Arabia,'070610,Fresh or chilled carrots and turnips,21374,24913,20100,30336,28535
Saudi Arabia,'070110,Seed potatoes,21373,20134,15849,20479,23773
Saudi Arabia,'070960,Fresh or chilled fruits of the genus Capsicum or Pimenta,22135,26212,20278,21543,20600
Saudi Arabia,'071040,"Sweetcorn, uncooked or cooked by steaming or by boiling in water, frozen",12772,13573,12194,12698,13493
Saudi Arabia,'071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",23935,24614,15867,11208,12528
Saudi Arabia,'070190,Fresh or chilled potatoes (excluding seed),12112,6190,5769,10900,11737
Saudi Arabia,'071080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",11522,9617,8636,8983,10919
Saudi Arabia,'071490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ...",5778,5712,12627,14112,8482
Saudi Arabia,'070951,"Fresh or chilled mushrooms of the genus ""Agaricus""",4934,4813,5221,6323,8151
Saudi Arabia,'070410,Fresh or chilled cauliflowers and headed broccoli,5713,5574,6945,6243,7061
Saudi Arabia,'071090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",10089,9359,7091,6318,6693
Saudi Arabia,'071021,"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in ...",11295,7930,7473,8812,6516
Saudi Arabia,'071120,"Olives, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or ...",2477,2766,3661,4878,6312
Saudi Arabia,'071331,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether ...",4678,3425,4858,3082,5451
Saudi Arabia,'070890,"Fresh or chilled leguminous vegetables, shelled or unshelled (excluding peas ""Pisum sativum"" ...",2387,4458,4146,4398,5305
