Country,Code,Product label,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019
UAE,'071340,"Dried, shelled lentils, whether or not skinned or split",188755,175534,209892,103223,114192
UAE,'070999,Fresh or chilled vegetables n.e.s.,116338,110513,109182,100864,98916
UAE,'070310,Fresh or chilled onions and shallots,123905,88588,114034,90827,89108
UAE,'070200,"Tomatoes, fresh or chilled",128674,127201,115782,100664,86473
UAE,'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",72242,104932,160872,94462,65450
UAE,'070190,Fresh or chilled potatoes (excluding seed),82672,76735,73985,64463,57780
UAE,'070320,"Garlic, fresh or chilled",70598,106828,93235,32411,52477
UAE,'070610,Fresh or chilled carrots and turnips,59901,58442,55737,46894,43641
UAE,'070960,Fresh or chilled fruits of the genus Capsicum or Pimenta,39578,44364,48669,34105,35872
UAE,'071331,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether ...",46625,35392,26853,29763,26593
UAE,'071310,"Dried, shelled peas ""Pisum sativum"", whether or not skinned or split",13472,19813,18484,12111,19190
UAE,'070519,Fresh or chilled lettuce (excluding cabbage lettuce),18675,19819,20756,21854,18855
UAE,'070410,Fresh or chilled cauliflowers and headed broccoli,18110,17458,18184,17481,17287
UAE,'070951,"Fresh or chilled mushrooms of the genus ""Agaricus""",16792,17755,19222,19057,16706
UAE,'071390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",33116,40703,26248,11131,15950
UAE,'070511,Fresh or chilled cabbage lettuce,19705,19972,20023,16835,15713
UAE,'071333,"Dried, shelled kidney beans ""Phaseolus vulgaris"", whether or not skinned or split",11751,11330,26820,17919,14853
UAE,'071350,"Dried, shelled broad beans ""Vicia faba var. major"" and horse beans ""Vicia faba var. equina ...",14417,10694,11539,8478,13733
UAE,'070993,"Fresh or chilled pumpkins, squash and gourds ""Cucurbita spp.""",13638,15811,17995,8686,10777
UAE,'070920,Fresh or chilled asparagus,6551,7393,7793,8093,8091
UAE,'071021,"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in ...",7937,8061,7952,9349,7913
UAE,'070690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",6037,8857,8526,8278,7616
UAE,'071080,"Vegetables, uncooked or cooked by steaming or by boiling in water, frozen (excluding potatoes, ...",9865,10857,11068,8766,7367
